actor_lr,rollout/ep_steps,critic_lr,time_elapsed,epoch,total_rollout_steps,rollout/return
0.0001,200.0,0.0001,492.30973863601685,167,33600,-78.08705470664651,,,,,,,4.593765,0.017927473
0.0001,200.0,0.0001,495.4126262664795,168,33800,-76.621896554113,,,,,,,4.6865797,0.01958084
0.0001,200.0,0.0001,498.539742231369,169,34000,-78.19255487320879,,,,,,,4.539797,0.014714219
0.0001,200.0,0.0001,501.51646304130554,170,34200,-77.80573627986601,,,,,,,4.6086087,0.017826347
0.0001,200.0,0.0001,504.5956528186798,171,34400,-78.64237393722875,,,,,,,4.5701046,0.016943227
0.0001,200.0,0.0001,507.70068430900574,172,34600,-75.52443729223855,,,,,,,4.559368,0.017301042
0.0001,200.0,0.0001,510.8045094013214,173,34800,-78.05582873529369,,,,,,,4.762105,0.016852995
0.0001,200.0,0.0001,513.8809292316437,174,35000,-78.10568912986845,,,,,,,4.7353463,0.016360369
0.0001,200.0,0.0001,516.9706544876099,175,35200,-77.67318212730126,,,,,,,4.759183,0.017578255
0.0001,200.0,0.0001,520.0649409294128,176,35400,-78.27814491614045,,,,,,,4.7197623,0.016704101
0.0001,200.0,0.0001,523.1064686775208,177,35600,-78.13517709668324,,,,,,,4.76591,0.016488302
0.0001,200.0,0.0001,526.2240319252014,178,35800,-78.6925791685722,,,,,,,4.7327366,0.015276838
0.0001,200.0,0.0001,529.3380498886108,179,36000,-78.2816164204263,,,,,,,4.6939073,0.0189532
0.0001,200.0,0.0001,532.4564235210419,180,36200,-77.92289757244146,,,,,,,4.860631,0.01664099
0.0001,200.0,0.0001,535.5421590805054,181,36400,-77.8103200821767,,,,,,,4.9279203,0.016983267
0.0001,200.0,0.0001,538.6221971511841,182,36600,-77.73753410621136,,,,,,,4.9180207,0.016562812
0.0001,200.0,0.0001,541.7042090892792,183,36800,-77.98388869391776,,,,,,,4.9226074,0.020442946
0.0001,200.0,0.0001,544.8095035552979,184,37000,-85.10280510015058,,,,,,,4.9365196,0.01697901
0.0001,200.0,0.0001,547.7706427574158,185,37200,-77.76672956691557,,,,,,,4.8356776,0.018122096
0.0001,200.0,0.0001,550.7843642234802,186,37400,-78.10593064268332,,,,,,,5.1006565,0.018370017
0.0001,200.0,0.0001,553.8792860507965,187,37600,-78.17310747257704,,,,,,,5.0008755,0.018408023
0.0001,200.0,0.0001,556.8482115268707,188,37800,-77.7934928194067,,,,,,,4.936211,0.02035463
0.0001,200.0,0.0001,559.9136712551117,189,38000,-78.36253000475158,,,,,,,4.9482183,0.018771384
0.0001,200.0,0.0001,562.8696556091309,190,38200,-78.27579958723878,,,,,,,4.995159,0.016438974
0.0001,200.0,0.0001,565.9909541606903,191,38400,-78.39139167260423,,,,,,,4.9797964,0.017706197
0.0001,200.0,0.0001,569.120890378952,192,38600,-78.34698678602211,,,,,,,5.1012044,0.020224186
0.0001,200.0,0.0001,572.2355375289917,193,38800,-77.95324633329535,,,,,,,5.0280066,0.017620152
