epoch,actor_lr,time_elapsed,rollout/return,critic_lr,total_rollout_steps,rollout/ep_steps
129,0.0001,164.58878254890442,-298.3231415000759,0.0001,26000,200.0,,,,,,4.6627083,6.7011585
130,0.0001,166.18551635742188,-308.0006406370606,0.0001,26200,200.0,,,,,,4.668171,6.676965
131,0.0001,167.28158688545227,-309.15464780768974,0.0001,26400,200.0,,,,,,4.66229,6.725272
132,0.0001,168.37566351890564,-308.65377133579483,0.0001,26600,200.0,,,,,,4.6600256,6.8016243
133,0.0001,169.4757239818573,-311.6828085833879,0.0001,26800,200.0,,,,,,4.7148633,6.5608478
134,0.0001,170.56780576705933,-309.6168856814134,0.0001,27000,200.0,,,,,,4.7004867,6.767583
135,0.0001,172.1685333251953,-310.3088941284229,0.0001,27200,200.0,,,,,,4.7119064,6.699072
136,0.0001,173.80618596076965,-310.69519644634494,0.0001,27400,200.0,,,,,,4.718341,6.854023
137,0.0001,174.94211649894714,-311.4034074856142,0.0001,27600,200.0,,,,,,4.6951895,6.781474
138,0.0001,176.72036576271057,-305.93701299881207,0.0001,27800,200.0,,,,,,4.6894546,6.7650337
139,0.0001,177.89921522140503,-312.7021040544756,0.0001,28000,200.0,,,,,,4.7410283,6.7421207
140,0.0001,179.03019309043884,-312.67350842329546,0.0001,28200,200.0,,,,,,4.7290225,6.831236
141,0.0001,180.6947569847107,-310.8444820540386,0.0001,28400,200.0,,,,,,4.7533326,6.87731
142,0.0001,182.3483588695526,-308.1570080198833,0.0001,28600,200.0,,,,,,4.7622147,6.832147
143,0.0001,183.66082000732422,-309.3388205431848,0.0001,28800,200.0,,,,,,4.8264413,6.794625
144,0.0001,185.39917469024658,-306.4425184202589,0.0001,29000,200.0,,,,,,4.789473,6.985044
145,0.0001,187.06771564483643,-311.2094452414711,0.0001,29200,200.0,,,,,,4.8013244,6.897897
146,0.0001,188.19669890403748,-311.86521260553326,0.0001,29400,200.0,,,,,,4.8110685,6.8794346
147,0.0001,189.305734872818,-307.68260264029027,0.0001,29600,200.0,,,,,,4.774455,7.0076365
148,0.0001,190.4407024383545,-308.9594810008533,0.0001,29800,200.0,,,,,,4.813295,6.9461
149,0.0001,191.56070971488953,-309.3742843853398,0.0001,30000,200.0,,,,,,4.850914,6.8384356
150,0.0001,192.7455449104309,-309.6773826713972,0.0001,30200,200.0,,,,,,4.8275166,6.985325
151,0.0001,195.05038571357727,-307.45394250759267,0.0001,30400,200.0,,,,,,4.7899055,6.8736
152,0.0001,196.93235516548157,-315.5126396675151,0.0001,30600,200.0,,,,,,4.8698835,6.829235
153,0.0001,198.46936297416687,-309.01458431044244,0.0001,30800,200.0,,,,,,4.8664565,6.9439073
154,0.0001,200.19628167152405,-311.9073689539293,0.0001,31000,200.0,,,,,,4.8492904,6.923
155,0.0001,201.72029995918274,-309.46965744196245,0.0001,31200,200.0,,,,,,4.8490915,7.0354934
156,0.0001,202.71407556533813,-312.30354285805566,0.0001,31400,200.0,,,,,,4.8053966,7.016079
157,0.0001,204.17978429794312,-312.1944738511371,0.0001,31600,200.0,,,,,,4.8524613,6.920356
158,0.0001,205.15518450737,-311.3289761642495,0.0001,31800,200.0,,,,,,4.8204637,6.931368
159,0.0001,206.18766856193542,-312.1569199413836,0.0001,32000,200.0,,,,,,4.8897624,6.8386574
160,0.0001,207.2200984954834,-312.17765035379864,0.0001,32200,200.0,,,,,,4.8358808,6.9741
161,0.0001,208.25730729103088,-310.49720117461516,0.0001,32400,200.0,,,,,,4.8255997,6.919268
162,0.0001,209.24734449386597,-312.9924370399374,0.0001,32600,200.0,,,,,,4.897241,6.793802
163,0.0001,210.24314522743225,-310.2874631764938,0.0001,32800,200.0,,,,,,4.8905115,6.9511867
164,0.0001,211.8070719242096,-311.0658355604277,0.0001,33000,200.0,,,,,,4.892642,6.9046917
